event_url,event_name,cancelled,series_event,listing_date_text,start_date,end_date,listing_year,competition_group_raw,competition_group,team_count,division,gender_raw,gender,schedule_url
https://play.usaultimate.org/events/Ski-Town-Classic-2018-,Ski Town Classic 2018,False,False,"Aug 18, 2018 - Aug 19, 2018",2018-08-18,2018-08-19,2018,Club - Women [8],Club - Women,8,Club,Women,Women,https://play.usaultimate.org/events/Ski-Town-Classic-2018-/schedule/women/Club-Women/
https://play.usaultimate.org/events/Ski-Town-Classic-2018-,Ski Town Classic 2018,False,False,"Aug 18, 2018 - Aug 19, 2018",2018-08-18,2018-08-19,2018,Club - Men [10],Club - Men,10,Club,Men,Men,https://play.usaultimate.org/events/Ski-Town-Classic-2018-/schedule/men/Club-Men/
https://play.usaultimate.org/events/Ski-Town-Classic-2018-,Ski Town Classic 2018,False,False,"Aug 18, 2018 - Aug 19, 2018",2018-08-18,2018-08-19,2018,Club - Mixed [20],Club - Mixed,20,Club,Mixed,Mixed,https://play.usaultimate.org/events/Ski-Town-Classic-2018-/schedule/mixed/Club-Mixed/
https://play.usaultimate.org/events/So-Cal-Mens-Sectional-Championship-2018,So Cal Men's Sectional Championship,False,True,"Sep 08, 2018 - Sep 09, 2018",2018-09-08,2018-09-09,2018,Club - Men [7],Club - Men,7,Club,Men,Men,https://play.usaultimate.org/events/So-Cal-Mens-Sectional-Championship-2018/schedule/men/Club-Men/
https://play.usaultimate.org/events/So-Cal-Mixed-Sectional-Championship-2018,So Cal Mixed Sectional Championship,False,True,"Sep 08, 2018 - Sep 09, 2018",2018-09-08,2018-09-09,2018,Club - Mixed [13],Club - Mixed,13,Club,Mixed,Mixed,https://play.usaultimate.org/events/So-Cal-Mixed-Sectional-Championship-2018/schedule/mixed/Club-Mixed/
https://play.usaultimate.org/events/So-Cal-Womens-Sectional-Championship-2018,So Cal Women's Sectional Championship,False,True,"Sep 08, 2018 - Sep 09, 2018",2018-09-08,2018-09-09,2018,Club - Women [4],Club - Women,4,Club,Women,Women,https://play.usaultimate.org/events/So-Cal-Womens-Sectional-Championship-2018/schedule/women/Club-Women/
https://play.usaultimate.org/events/South-Central-Mens-Regional-Championship-2018,South Central Men's Regional Championship,False,True,"Sep 22, 2018 - Sep 23, 2018",2018-09-22,2018-09-23,2018,Club - Men [16],Club - Men,16,Club,Men,Men,https://play.usaultimate.org/events/South-Central-Mens-Regional-Championship-2018/schedule/men/Club-Men/
https://play.usaultimate.org/events/South-Central-Mixed-Regional-Championship-2018,South Central Mixed Regional Championship,False,True,"Sep 22, 2018 - Sep 23, 2018",2018-09-22,2018-09-23,2018,Club - Mixed [16],Club - Mixed,16,Club,Mixed,Mixed,https://play.usaultimate.org/events/South-Central-Mixed-Regional-Championship-2018/schedule/mixed/Club-Mixed/
https://play.usaultimate.org/events/South-Central-Womens-Regional-Championship-2018,South Central Women's Regional Championship,False,True,"Sep 22, 2018 - Sep 23, 2018",2018-09-22,2018-09-23,2018,Club - Women [7],Club - Women,7,Club,Women,Women,https://play.usaultimate.org/events/South-Central-Womens-Regional-Championship-2018/schedule/women/Club-Women/
https://play.usaultimate.org/events/South-College-Mixed-Regional-2018,South College Mixed Regional Championship,False,True,"Nov 10, 2018 - Nov 11, 2018",2018-11-10,2018-11-11,2018,College - Mixed [10],College - Mixed,10,College,Mixed,Mixed,https://play.usaultimate.org/events/South-College-Mixed-Regional-2018/schedule/mixed/CollegeMixed/
